BirdNum,femur,tibia,TMT,Toe
98,79.3,129.3,78.6,59.2
98,80.1,129.6,79.1,60.6
98,79.5,130,79.1,57.7
65,86.9,120.5,74.6,57.9
65,85.9,119.4,74.6,56
65,84.7,120.5,74.3,58.2
61,84.9,123.4,77.4,61.9
61,86.3,123.2,78.9,60
61,86.3,122.8,79.4,58.8
70,89.7,129,82.5,62.6
70,89.5,128.9,82.7,62.5
70,88.2,129,83.2,62.4
67,101.2,126.1,82.3,62.8
67,101.5,126.3,83,62.9
67,101.8,126.7,82.1,61.6
11,78.9,110.2,72.5,73
11,78.5,110,73.1,72.7
11,78.7,109.8,72.2,72.7
93,88.8,125.8,76.8,59.3
93,87.7,124.9,78.1,59.2
93,87.9,125,77.6,60
800,90.9,127.7,78.3,62.9
800,90.2,127.5,78.9,64.8
800,90.7,128.3,78.5,63.5
91,79.9,118.7,75,59.1
91,79.9,118.7,74.8,59.3
91,80,118.9,74.7,59.7
95,85.8,123.6,78.5,60.9
95,84.7,123.3,77.9,59.8
95,84.5,123.2,79,60
62,80.3,114.4,68.7,54.3
62,79.9,114,69.2,54.3
62,79.2,114.6,68.9,53.5
92,80,121.8,71.7,57.4
92,80,122.4,71.4,56.5
92,79.6,122.3,72.1,57.8
66,87.9,125.7,82.4,85.6
66,89.5,126,84.5,59.6
66,88.9,125.9,82.7,59.8
90,85.9,120.6,73.6,54.9
90,85.8,120,74.3,55.2
90,85.6,118.8,73,58.1
88,87.3,120,78.3,55
88,88.4,121.1,78,55.3
88,88.3,122.5,78.5,55.2
52,89.7,132.1,79.6,62.1
52,92,132.9,80.5,59.4
52,90.8,131.5,81.8,59.6
73,99.7,127.7,77.2,63.8
73,100.3,127,78,64
73,99.4,127.5,78.1,63.6
81,86.8,120.3,77.4,57.8
81,87.1,120,75.6,57
81,86.2,120.3,76.1,57.1
71,87.9,127.8,81.7,60.5
71,88.4,127.4,81.7,60.8
71,88.4,128.5,82,62.1
89,92.7,132.8,84.1,61.4
89,93.5,132.9,83.5,63
89,93.8,133.2,84.5,62.1
86,88.7,125.2,81.8,59.5
86,88.9,125.7,81.4,60.8
86,88.8,124.6,81,60
51,86.8,129.9,81.6,60.5
51,85.9,131.4,81.8,61
51,87.2,130.3,82,61
94,84.5,118.9,75.8,53.4
94,86.3,119.3,75.4,53.6
94,84.6,118.8,77,53.7
58,84.7,122.7,72.6,57.1
58,85.4,121.7,73.4,57.1
58,85.5,124.2,74.5,57.1
57,88.6,114.5,72.2,53.4
57,88.4,114.8,73,54.1
57,87.6,116.6,72.6,53.7
